# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1411.619157925919581,0.01072,0.00104,0.00300,0.00009,0.00000,0.00258,0.01742
1411.652329673006989,0.00987,0.00081,0.00825,0.00007,0.00191,0.00266,0.02357
1411.685503569006869,0.00618,0.00035,0.00024,0.00003,0.00000,0.00235,0.00915
1411.718674553536403,0.00680,0.00063,0.00426,0.00005,0.00160,0.00256,0.01590
1411.751847605536341,0.00885,0.00037,0.00024,0.00003,0.00005,0.00251,0.01205
1411.785017036947693,0.00734,0.00068,0.00739,0.00006,0.00141,0.00185,0.01874
1411.818262794460679,0.00634,0.00034,0.00099,0.00004,0.00000,0.00298,0.01068
1411.851405190514924,0.00691,0.00060,0.00638,0.00007,0.00178,0.00202,0.01777
1411.884607262217742,0.00667,0.00073,0.01211,0.00006,0.00207,0.00214,0.02379
1411.917830549186647,0.00761,0.00042,0.00869,0.00006,0.00000,0.00287,0.01966
1411.951011206463590,0.00595,0.00043,0.00268,0.00004,0.00000,0.00302,0.01212
1411.984123702319721,0.00804,0.00042,0.00367,0.00004,0.00005,0.00211,0.01434
1412.017220303901240,0.00797,0.00070,0.00265,0.00006,0.00006,0.00208,0.01353
1412.050395408901295,0.00586,0.00075,0.00158,0.00005,0.00006,0.00246,0.01077
1412.083637981901347,0.00748,0.00035,0.00159,0.00003,0.00005,0.00247,0.01197
1412.116819668901371,0.01002,0.00028,0.00067,0.00002,0.00004,0.00176,0.01280
1412.183086303901291,0.00573,0.00053,0.00131,0.00003,0.00005,0.00217,0.00982
1412.216276928901380,0.00632,0.00039,0.00071,0.00003,0.00005,0.00219,0.00969
1412.249434876901432,0.00665,0.00056,0.00021,0.00005,0.00000,0.00302,0.01049
1412.282605563901370,0.00595,0.00045,0.00098,0.00003,0.00005,0.00213,0.00959
1412.315777303901314,0.00562,0.00070,0.00031,0.00007,0.00009,0.00369,0.01048
1412.348950303901347,0.00614,0.00036,0.00057,0.00003,0.00005,0.00219,0.00935
1412.382167407901306,0.00508,0.00027,0.00009,0.00003,0.00000,0.00170,0.00717
1412.415297303901298,0.00595,0.00035,0.00038,0.00003,0.00005,0.00212,0.00889
1412.448510248487082,0.00369,0.00031,0.00313,0.00003,0.00004,0.00165,0.00886
1412.481684353487026,0.00716,0.00062,0.00091,0.00009,0.00009,0.00255,0.01143
1412.514818300486922,0.00506,0.00034,0.00069,0.00004,0.00006,0.00226,0.00845
1412.547993560486930,0.00723,0.00068,0.00086,0.00006,0.00011,0.00424,0.01318
1412.581162248486862,0.00654,0.00082,0.00153,0.00007,0.00012,0.00228,0.01136
1412.614379353487038,0.00646,0.00040,0.00082,0.00004,0.00006,0.00253,0.01032
1412.647642248487045,0.00660,0.00071,0.00356,0.00010,0.00011,0.00251,0.01360
1412.680680717486894,0.00707,0.00061,0.00190,0.00003,0.00004,0.00167,0.01132
1412.713853457486948,0.00469,0.00040,0.00096,0.00004,0.00007,0.00286,0.00903
1412.747027300486934,0.01019,0.00063,0.00098,0.00002,0.00003,0.00157,0.01343
1412.780199821487031,0.00629,0.00060,0.00042,0.00005,0.00000,0.00226,0.00962
1412.813372928522767,0.00660,0.00058,0.00399,0.00004,0.00004,0.00160,0.01285
1412.846549762522727,0.00918,0.00036,0.00019,0.00005,0.00006,0.00257,0.01241
1412.879722812106593,0.00828,0.00068,0.00493,0.00008,0.00020,0.00241,0.01658
1412.912902938106527,0.00776,0.00040,0.00027,0.00004,0.00000,0.00258,0.01105
1412.979234781106470,0.00986,0.00058,0.00029,0.00004,0.00009,0.00279,0.01365
1413.012448180950969,0.00591,0.00058,0.00552,0.00005,0.00011,0.00224,0.01440
1413.045625440950971,0.00595,0.00056,0.00061,0.00005,0.00022,0.00289,0.01029
1413.111973419951028,0.00506,0.00062,0.00100,0.00006,0.00017,0.00269,0.00961
